iter	RMSE
0	26.03233911
1	25.51752973
2	25.01386895
3	24.52005587
4	24.03778447
5	23.56670418
6	23.10512804
7	22.65297775
8	22.21176087
9	21.77783386
10	21.35351704
11	20.94019192
12	20.5337114
13	20.13625973
14	19.74763234
15	19.36768337
16	18.99567693
17	18.63105963
18	18.27442939
19	17.9271417
20	17.58991615
21	17.25772559
22	16.93307841
23	16.61225506
24	16.30026112
25	15.99612965
26	15.69779118
27	15.40511128
28	15.12130377
29	14.84416839
30	14.56973925
31	14.30153033
32	14.03823988
33	13.78101595
34	13.53103171
35	13.28689766
36	13.04896309
37	12.81360684
38	12.58562229
39	12.36145634
40	12.14497594
41	11.93187266
42	11.72205952
43	11.51860781
44	11.32010435
45	11.12623535
46	10.93618388
47	10.75231444
48	10.57117328
49	10.39292624
50	10.21828097
51	10.04794244
52	9.882434053
53	9.72158351
54	9.563553177
55	9.411016894
56	9.26155487
57	9.115397472
58	8.972035415
59	8.832441004
60	8.696259495
61	8.564029211
62	8.435907923
63	8.309099346
64	8.18615011
65	8.065654617
66	7.949204237
67	7.835004605
68	7.723195878
69	7.615177911
70	7.508745699
71	7.40470477
72	7.304695613
73	7.206946631
74	7.11073765
75	7.017070319
76	6.926066739
77	6.838374116
78	6.752105541
79	6.66749471
80	6.585587046
81	6.505631602
82	6.428762483
83	6.352857064
84	6.278144803
85	6.205389904
86	6.136994862
87	6.068934065
88	6.00371924
89	5.939317788
90	5.877123918
91	5.815411796
92	5.755785798
93	5.697540806
94	5.641124558
95	5.587753764
96	5.532125008
97	5.480957166
98	5.431223247
99	5.381365407
100	5.333897356
101	5.285593846
102	5.240680199
103	5.197066675
104	5.155907735
105	5.115266889
106	5.074304441
107	5.035712766
108	4.99873977
109	4.962906264
110	4.927429877
111	4.894117201
112	4.860206425
113	4.828104959
114	4.796032197
115	4.765208552
116	4.735412548
117	4.707425763
118	4.679988337
119	4.653129077
120	4.625312811
121	4.598701026
122	4.573897164
123	4.548813812
124	4.526055035
125	4.502701942
126	4.481069192
127	4.459595415
128	4.438416057
129	4.41817037
130	4.3973486
131	4.376567511
132	4.357346087
133	4.33854561
134	4.320037749
135	4.302932195
136	4.286724052
137	4.270281065
138	4.254026625
139	4.239068749
140	4.224691467
141	4.209611346
142	4.19662591
143	4.182866257
144	4.169525594
145	4.156728503
146	4.143746103
147	4.130940682
148	4.118972506
149	4.106874325
150	4.09529727
151	4.084199654
152	4.073204781
153	4.062502
154	4.05203557
155	4.042110602
156	4.032103179
157	4.022072318
158	4.014059564
159	4.004671091
160	3.996974854
161	3.987773011
162	3.979158948
163	3.970955635
164	3.963225434
165	3.955689146
166	3.947758371
167	3.939963346
168	3.932554533
169	3.92599964
170	3.91884951
171	3.912062681
172	3.905951193
173	3.899484042
174	3.893400815
175	3.887975751
176	3.881048468
177	3.874813011
178	3.869021509
179	3.863232197
180	3.858230502
181	3.853097263
182	3.846750341
183	3.840959262
184	3.835142243
185	3.830054132
186	3.825198781
187	3.820578862
188	3.815357576
189	3.810725843
190	3.805904525
191	3.800755537
192	3.795632238
193	3.791450717
194	3.786796768
195	3.782525
196	3.778664544
197	3.774380223
198	3.769629684
199	3.766087749
200	3.762254923
201	3.758372164
202	3.754274541
203	3.750670322
204	3.747440849
205	3.74394961
206	3.740014127
207	3.736208279
208	3.733183792
209	3.730342014
210	3.726223109
211	3.722638649
212	3.719525206
213	3.717396652
214	3.71366846
215	3.71000849
216	3.707282955
217	3.704419171
218	3.701815672
219	3.69884336
220	3.696047083
221	3.692800309
222	3.690022201
223	3.686470431
224	3.683845531
225	3.681262943
226	3.679506333
227	3.677178704
228	3.674625761
229	3.672062759
230	3.670120593
231	3.667397687
232	3.66476576
233	3.661674984
234	3.659659233
235	3.657560309
236	3.655717653
237	3.653764556
238	3.650955592
239	3.648916362
240	3.646019902
241	3.643319835
242	3.641369807
243	3.639015736
244	3.637164159
245	3.634565983
246	3.63225228
247	3.630191961
248	3.628112632
249	3.626412904
250	3.623686816
251	3.621607313
252	3.619585432
253	3.617435132
254	3.614981434
255	3.613038382
256	3.611017611
257	3.608898202
258	3.606235047
259	3.603777252
260	3.601025684
261	3.599498073
262	3.597366507
263	3.595270427
264	3.593413108
265	3.59160568
266	3.589719447
267	3.587863232
268	3.586468533
269	3.585161785
270	3.583218324
271	3.581507645
272	3.580138299
273	3.579016078
274	3.57774366
275	3.576661447
276	3.57531668
277	3.574187757
278	3.572626025
279	3.570864226
280	3.568442676
281	3.567136549
282	3.565356634
283	3.564046874
284	3.562056541
285	3.560044026
286	3.558558811
287	3.556726016
288	3.554247488
289	3.552367792
290	3.55088636
291	3.54945335
292	3.547560767
293	3.546481334
294	3.544713865
295	3.543371682
296	3.541605741
297	3.54014627
298	3.539006633
299	3.538084404
300	3.536906537
301	3.535379819
302	3.533444678
303	3.531931583
304	3.530422519
305	3.52824138
306	3.527106944
307	3.524567806
308	3.523783587
309	3.52294498
310	3.521569507
311	3.520073147
312	3.518721531
313	3.516752746
314	3.515051286
315	3.513720522
316	3.513082005
317	3.510958278
318	3.509758314
319	3.508077907
320	3.505978734
321	3.50395264
322	3.502480295
323	3.501472001
324	3.5002748
325	3.499395088
326	3.498607466
327	3.497085999
328	3.495403469
329	3.494055397
330	3.492600447
331	3.490990306
332	3.489829045
333	3.488218633
334	3.486712652
335	3.485508879
336	3.48365857
337	3.482614858
338	3.481047043
339	3.479893895
340	3.478956839
341	3.477902473
342	3.477166849
343	3.476038837
344	3.474960227
345	3.473695108
346	3.472530102
347	3.471171748
348	3.469959432
349	3.468361442
350	3.467075966
351	3.46527187
352	3.464310801
353	3.463216012
354	3.461517363
355	3.460479211
356	3.459936635
357	3.458758854
358	3.45738526
359	3.455431276
360	3.453851774
361	3.452940451
362	3.451897183
363	3.450787215
364	3.450047992
365	3.44884957
366	3.44824612
367	3.447349131
368	3.445885144
369	3.44501789
370	3.442595617
371	3.440859464
372	3.439385895
373	3.437650849
374	3.436544969
375	3.435170453
376	3.433621949
377	3.432661475
378	3.431912691
379	3.431188965
380	3.429715495
381	3.428621296
382	3.42783431
383	3.42703372
384	3.425498738
385	3.424618414
386	3.423579657
387	3.422248796
388	3.421628329
389	3.420204411
390	3.419378213
391	3.418115508
392	3.41741446
393	3.416619331
394	3.41609389
395	3.41494391
396	3.413519511
397	3.412830065
398	3.412050182
399	3.411420364
400	3.410629156
401	3.409107803
402	3.408523955
403	3.407378645
404	3.406056196
405	3.404939052
406	3.403247384
407	3.40191752
408	3.400184762
409	3.39938147
410	3.398863886
411	3.398374108
412	3.396983194
413	3.395431118
414	3.394413666
415	3.393136477
416	3.392622059
417	3.391090465
418	3.390306277
419	3.389591127
420	3.387991307
421	3.387299015
422	3.386088064
423	3.385321617
424	3.383835268
425	3.382845978
426	3.382071198
427	3.381497203
428	3.38098213
429	3.379236328
430	3.378712459
431	3.377834663
432	3.377143336
433	3.375439633
434	3.374034478
435	3.373488232
436	3.371876443
437	3.370473475
438	3.369722753
439	3.368750523
440	3.368086177
441	3.36750227
442	3.366796018
443	3.366269541
444	3.364793715
445	3.364059605
446	3.362600543
447	3.36186005
448	3.36137784
449	3.359810896
450	3.358729763
451	3.358303377
452	3.357293421
453	3.356411945
454	3.355517947
455	3.354556679
456	3.3535278
457	3.352471179
458	3.351838951
459	3.351145984
460	3.349816911
461	3.348492845
462	3.347837964
463	3.347063432
464	3.345987093
465	3.344959987
466	3.343522089
467	3.342027482
468	3.341350561
469	3.340287821
470	3.339046944
471	3.338507218
472	3.337956749
473	3.337132343
474	3.336376976
475	3.335211743
476	3.333376913
477	3.33201287
478	3.330911304
479	3.329660864
480	3.329276906
481	3.328432837
482	3.327577307
483	3.326513526
484	3.325850658
485	3.324583659
486	3.323628618
487	3.321956097
488	3.321036461
489	3.320404278
490	3.319772857
491	3.318247835
492	3.317784535
493	3.317279892
494	3.316599251
495	3.315323019
496	3.314245048
497	3.313558564
498	3.31272807
499	3.312076973
500	3.311124907
501	3.310321688
502	3.309749764
503	3.308569445
504	3.307326737
505	3.306406584
506	3.305169916
507	3.304466513
508	3.303673075
509	3.303068288
510	3.302281684
511	3.301139803
512	3.300454608
513	3.299375755
514	3.299329375
515	3.298964846
516	3.297827177
517	3.296997671
518	3.295806078
519	3.294713625
520	3.294076476
521	3.293091941
522	3.291917842
523	3.290400412
524	3.289738629
525	3.289162203
526	3.287833115
527	3.287161401
528	3.286469318
529	3.285196872
530	3.284403613
531	3.283208743
532	3.282686763
533	3.281520228
534	3.280457264
535	3.279898854
536	3.278945781
537	3.278018542
538	3.276862124
539	3.275745975
540	3.274602329
541	3.273280448
542	3.272628075
543	3.272171085
544	3.270885676
545	3.27023244
546	3.269167981
547	3.268654103
548	3.268183225
549	3.267720066
550	3.266662689
551	3.265324584
552	3.264843865
553	3.264043182
554	3.263141904
555	3.262534654
556	3.261741892
557	3.26095641
558	3.26049309
559	3.260265368
