iter	Passed	Remaining
0	259	389016
1	816	611768
2	1143	570728
3	1555	581705
4	1734	518605
5	2202	548451
6	2655	566455
7	3222	601001
8	3767	624144
9	4173	621781
10	4562	617559
11	5045	625596
12	5504	629635
13	6362	675372
14	6989	691962
15	7435	689637
16	7903	689454
17	8187	674139
18	8487	661605
19	9241	683852
20	9690	682459
21	9910	665803
22	10230	656952
23	10582	650811
24	10902	643268
25	11212	635647
26	11485	626585
27	11676	613845
28	12009	609157
29	12538	614363
30	12964	614347
31	13192	605228
32	13565	603054
33	13942	601149
34	14174	593286
35	14707	598112
36	15035	594525
37	15379	591696
38	15683	587535
39	16118	588341
40	16539	588563
41	16766	582039
42	17201	582852
43	17559	581046
44	17766	574462
45	17959	567685
46	18233	563674
47	18434	557639
48	19032	563606
49	19522	566161
50	19946	566726
51	20419	568591
52	20789	567587
53	21035	563274
54	21263	558653
55	21598	556938
56	21829	552636
57	22269	553660
58	22489	549278
59	23011	552274
60	23296	549575
61	23619	547825
62	23950	546306
63	24233	543735
64	24609	543297
65	24836	539629
66	25183	538623
67	25583	538756
68	26286	545152
69	26791	547309
70	27344	550364
71	27792	551214
72	28212	551505
73	28924	557377
74	29445	559461
75	29686	556239
76	30309	560140
77	30726	560163
78	31098	559384
79	31424	557789
80	32039	561281
81	32366	559708
82	32718	558580
83	33105	558060
84	33335	554944
85	33795	555662
86	34088	553645
87	34347	551124
88	34622	548895
89	34857	546099
90	35085	543241
91	35431	542256
92	35940	543739
93	36371	544021
94	36640	541890
95	37162	543507
96	37748	545991
97	38059	544487
98	38413	543613
99	38659	541237
100	39005	540277
101	39264	538155
102	39644	537702
103	39872	535215
104	40349	536076
105	40752	535939
106	40947	533082
107	41239	531529
108	41866	534274
109	42195	533192
110	42541	532347
111	42824	530722
112	43226	530578
113	43495	528814
114	44193	532247
115	44531	531308
116	44869	530374
117	45292	530457
118	45800	531519
119	46112	530294
120	46397	528782
121	46664	527082
122	46923	525312
123	47272	524567
124	47509	522604
125	47848	521775
126	48153	520591
127	48684	521840
128	49174	522619
129	49506	521721
130	49883	521303
131	50330	521604
132	50612	520207
133	50932	519205
134	51343	519142
135	51710	518625
136	52101	518352
137	52357	516744
138	52706	516065
139	53024	515097
140	53480	515459
141	53613	512722
142	54008	512510
143	54341	511720
144	54679	510965
145	54862	508792
146	55070	506874
147	55452	506565
148	55777	505743
149	56130	505171
150	56658	506176
151	57224	507492
152	57705	508038
153	58250	509123
154	58861	510768
155	59469	512354
156	59848	511948
157	60136	510779
158	60670	511689
159	60912	510138
160	61257	509465
161	61571	508534
162	62414	511951
163	62792	511531
164	63344	512512
165	63734	512176
166	64186	512336
167	64866	514299
168	65361	514767
169	65654	513647
170	65954	512594
171	66438	512964
172	66726	511828
173	66929	510047
174	67388	510224
175	67584	508416
176	68182	509637
177	68418	508139
178	68741	507308
179	69185	507359
180	69682	507794
181	70215	508483
182	70778	509374
183	71318	510084
184	71507	508285
185	71786	507139
186	72149	506592
187	72386	505166
188	72713	504374
189	73305	505422
190	73582	504291
191	74694	508857
192	75096	508556
193	75557	508652
194	76171	509760
195	76793	510909
196	77004	509325
197	77377	508816
198	77633	507544
199	78128	507832
200	78608	508020
201	78981	507516
202	79358	507034
203	79637	505929
204	79900	504737
205	80496	505644
206	80926	505497
207	81273	504835
208	81728	504840
209	82016	503817
210	82253	502485
211	82679	502318
212	82921	501032
213	83394	501148
214	83747	500535
215	84171	500355
216	84620	500313
217	84915	499367
218	85272	498786
219	85520	497572
220	85930	497307
221	86340	497043
222	86624	496049
223	86960	495366
224	87320	494817
225	87876	495372
226	88509	496357
227	88830	495578
228	89156	494837
229	89424	493776
230	89630	492387
231	90326	493680
232	90722	493326
233	91290	493902
234	91773	494014
235	92341	494573
236	92787	494477
237	93013	493205
238	93492	493279
239	93821	492561
240	94092	491545
241	94313	490273
242	94674	489735
243	95149	489783
244	95672	490078
245	96105	489905
246	96738	490744
247	97090	490149
248	97537	490038
249	98130	490651
250	98486	490080
251	98760	489100
252	99084	488374
253	99464	487926
254	99713	486836
255	99992	485900
256	100317	485192
257	100789	485197
258	101225	485021
259	101697	485019
260	101855	483521
261	102224	483030
262	102593	482540
263	102823	481400
264	103011	480073
265	103437	479854
266	103652	478662
267	104120	478641
268	104901	480052
269	105280	479609
270	105529	478580
271	105897	478097
272	106411	478265
273	106908	478355
274	107332	478117
275	107808	478105
276	108406	478632
277	108694	477786
278	109092	477426
279	109347	476441
280	109755	476129
281	110155	475778
282	110567	475480
