ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_ID,ADM1_EN,ADM1_TYPE,ADM2_PCODE,ADM2_ID,ADM2_EN,ADM2_TYPE,ADM3_PCODE,ADM3_ID,ADM3_EN,ADM3_REF,ADM3_TYPE,POP_SOURCE
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA292,BUF,Buffalo City,Metropolitan Municipality,ZA2920,BUF,Buffalo City,Buffalo City,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA1,WC,Western Cape,Province,ZA191,CPT,City of Cape Town,Metropolitan Municipality,ZA1910,CPT,City of Cape Town,City of Cape Town,Metropolitan Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2101,EC101,Dr Beyers Naude,Dr Beyers Naude,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2102,EC102,Blue Crane Route,Blue Crane Route,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2104,EC104,Makana,Makana,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2105,EC105,Ndlambe,Ndlambe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2106,EC106,Sundays River Valley,Sundays River Valley,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2108,EC108,Kouga,Kouga,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA210,DC10,Cacadu,District Municipality,ZA2109,EC109,Kou-Kamma,Kou-Kamma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2121,EC121,Mbhashe,Mbhashe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2122,EC122,Mnquma,Mnquma,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2123,EC123,Great Kei,Great Kei,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2124,EC124,Amahlathi,Amahlathi,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2126,EC126,Ngqushwa,Ngqushwa,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA212,DC12,Amathole,District Municipality,ZA2129,EC129,Raymond Mhlaba,Raymond Mhlaba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2131,EC131,Inxuba Yethemba,Inxuba Yethemba,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2135,EC135,Intsika Yethu,Intsika Yethu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2136,EC136,Emalahleni,Emalahleni,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2137,EC137,Engcobo,Engcobo,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2138,EC138,Sakhisizwe,Sakhisizwe,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA213,DC13,Chris Hani,District Municipality,ZA2139,EC139,Enoch Mgijima,Enoch Mgijima,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2141,EC141,Elundini,Elundini,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2142,EC142,Senqu,Senqu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
ZA,South Africa,ZA2,EC,Eastern Cape,Province,ZA214,DC14,Joe Gqabi,District Municipality,ZA2145,EC145,Walter Sisulu,Walter Sisulu,Local Municipality,Statistics South Africa 2016 Commmunity Survey Population by 5yr age group by Local Municipality
