ward,target
21001001: Ward 1,2180001108.721302
21001002: Ward 2,6880797.8023752645
21001003: Ward 3,1548807361.2763054
21001004: Ward 4,96073189.31405282
21001005: Ward 5,34425182307.56145
21001006: Ward 6,259903808322.9088
21001007: Ward 7,20266624.844896443
21002001: Ward 1,798274890.3884592
21002002: Ward 2,164080838.95188004
21002003: Ward 3,91873582128.32852
21002004: Ward 4,24761620268.299488
21002005: Ward 5,189815996.44939002
21002006: Ward 6,247523678.8154389
21004001: Ward 1,24086084.997401115
21004002: Ward 2,191258653542.18225
21004003: Ward 3,83142448.09855056
21004004: Ward 4,5436515.781919366
21004005: Ward 5,716572525714.4756
21004006: Ward 6,23398081615.84709
21004007: Ward 7,381685604217.2797
21004008: Ward 8,158020371.74361005
21004009: Ward 9,94560761153.04575
21004010: Ward 10,27069281351.231262
21004011: Ward 11,2926705042992.383
21004012: Ward 12,121882300.9801523
21004013: Ward 13,4790602184.1815605
21004014: Ward 14,1502057508.9279606
21005001: Ward 1,38921304566245.766
21005002: Ward 2,1494110762.34025
21005003: Ward 3,2140584319.8657205
21005004: Ward 4,396338706.6377633
21005005: Ward 5,11425388012.591904
21005006: Ward 6,73045069.1108208
21005007: Ward 7,11912548010613.646
21005008: Ward 8,1858852518661.6719
21005009: Ward 9,460523407833.7916
21005010: Ward 10,15685.602496227795
21006001: Ward 1,35507167407.8036
21006002: Ward 2,1459749346.4379692
21006003: Ward 3,573607959.804508
21006004: Ward 4,118918044268.24115
21006005: Ward 5,298987391942.6603
21006006: Ward 6,547003224.0512378
21006007: Ward 7,6209768.197182935
21006008: Ward 8,1367352693.3326402
21008001: Ward 1,11947169.185340032
21008002: Ward 2,149307509.654929
21008003: Ward 3,2135.752046664859
21008004: Ward 4,506406525.69399905
21008005: Ward 5,901327626.6026274
21008006: Ward 6,167460950613.88242
21008007: Ward 7,48392843.34497657
21008008: Ward 8,7753.005145893434
21008009: Ward 9,1183900097.1322474
21008010: Ward 10,3893466359.350295
21008011: Ward 11,46698.15450992461
21008012: Ward 12,2204277.9493098785
21008013: Ward 13,57378854.9770958
21008014: Ward 14,58781648.07752979
21008015: Ward 15,187310590.3322885
21009001: Ward 1,266172172.07727015
21009002: Ward 2,13667792.776937567
21009003: Ward 3,1028210979.573055
21009004: Ward 4,46481316.201661214
21009005: Ward 5,509236260.3434463
21009006: Ward 6,376455522.5143033
21201001: Ward 1,690771460598.4088
21201002: Ward 2,2.0855068536900332e+16
21201003: Ward 3,9.251383738835136e+17
21201004: Ward 4,2.6917074146728125e+18
21201005: Ward 5,5.367594433819288e+17
21201006: Ward 6,4.453202470214231e+17
21201007: Ward 7,5.67972842810581e+18
21201008: Ward 8,8.218584896902578e+17
21201009: Ward 9,5144330234033191.0
21201010: Ward 10,7.918252823233123e+16
21201011: Ward 11,4.4214207700169344e+18
21201012: Ward 12,5.085015507528199e+18
21201013: Ward 13,828592671533934.8
21201014: Ward 14,4.420658137732043e+19
21201015: Ward 15,4.892949900206953e+18
21201016: Ward 16,1.6292531201674252e+19
21201017: Ward 17,2.876974304049783e+18
21201018: Ward 18,9.313118077965635e+17
21201019: Ward 19,2.8122748038474096e+16
21201020: Ward 20,1.2435688260800794e+18
21201021: Ward 21,7.164654744448053e+16
21201022: Ward 22,1.7538299355339991e+19
21201023: Ward 23,5.545718897189521e+18
21201024: Ward 24,1.3702333913840588e+16
21201025: Ward 25,39663843899474.75
21201026: Ward 26,2.1097321856503693e+19
21201027: Ward 27,1.0638735252883916e+16
21201028: Ward 28,1.0996814671069763e+17
21201029: Ward 29,1.4565614489691234e+16
21201030: Ward 30,4.236014961495451e+16
21201031: Ward 31,3.2378070045371003e+18
21202001: Ward 1,109497352401.13156
21202002: Ward 2,188748713431229.53
21202003: Ward 3,11986856456986.47
21202004: Ward 4,459539267315.8476
21202005: Ward 5,81367551975166.34
21202006: Ward 6,1573320318627040.8
21202007: Ward 7,9873675207429034.0
21202008: Ward 8,2.445345303280343e+17
21202009: Ward 9,2717510229205980.0
21202010: Ward 10,4.282788117856936e+16
21202011: Ward 11,4.356394452974029e+16
21202012: Ward 12,1.9405326669988992e+17
21202013: Ward 13,1.7970192340199416e+16
21202014: Ward 14,7.910647103058077e+16
21202015: Ward 15,3.016539217939416e+17
21202016: Ward 16,5175645276472386.0
21202017: Ward 17,7.470174035012683e+16
21202018: Ward 18,4.029646443743086e+16
21202019: Ward 19,1.1718805666577571e+17
21202020: Ward 20,4.245960393702509e+16
21202021: Ward 21,2.162788486213022e+17
21202022: Ward 22,8.58135388062091e+17
21202023: Ward 23,1.1451635248396088e+18
21202024: Ward 24,5.395981707042078e+17
21202025: Ward 25,6.227435121135605e+18
21202026: Ward 26,3.745258177641737e+17
21202027: Ward 27,5.912939731343476e+16
21202028: Ward 28,3.818724664889238e+16
21202029: Ward 29,9.316125951943371e+16
21202030: Ward 30,8300646318648722.0
21202031: Ward 31,2.2305604286558557e+17
21203001: Ward 1,13096005959.516571
21203002: Ward 2,2.013606729578416e+16
21203003: Ward 3,2.4841879067212692e+16
21203004: Ward 4,454114265785368.5
21203005: Ward 5,5882952078318.85
21203006: Ward 6,388695727.5380449
21203007: Ward 7,37075730817.71549
21204001: Ward 1,1648518099525593.0
21204002: Ward 2,10846962190925.898
21204003: Ward 3,1.608485552432177e+17
21204004: Ward 4,254293493855.92886
21204005: Ward 5,20569627838585.734
21204006: Ward 6,155413844270.95578
21204007: Ward 7,4.605220382660226e+16
21204008: Ward 8,6.327676404872372e+16
21204009: Ward 9,5564664083960.116
21204010: Ward 10,858132216004990.4
21204011: Ward 11,6329401091887300.0
21204012: Ward 12,4.423773411317548e+16
21204013: Ward 13,563729452326157.8
21204014: Ward 14,6209910946083.405
21204015: Ward 15,264296321092604.2
21206001: Ward 1,735043567366828.5
21206002: Ward 2,445122065854138.56
21206003: Ward 3,5837104672709914.0
21206004: Ward 4,3426783416981132.0
21206005: Ward 5,16823070799860.516
21206006: Ward 6,534140413572078.1
21206007: Ward 7,1662972803861.5212
21206008: Ward 8,268273212906352.2
21206009: Ward 9,1460437076097209.2
21206010: Ward 10,878782109459.8206
21206011: Ward 11,21732269305131.35
21206012: Ward 12,43137509667591.9
21301001: Ward 1,1539739740553.3787
21301002: Ward 2,90851740249.63846
21301003: Ward 3,380657795403.9917
21301004: Ward 4,9241541321.295988
21301005: Ward 5,92694.18061814872
21301006: Ward 6,1482124864.6405296
21301007: Ward 7,19554588445.36138
21301008: Ward 8,5542915273.405128
21301009: Ward 9,4452696426.243152
21305001: Ward 1,2.1968454231738906e+17
21305002: Ward 2,2621314281615056.0
21305003: Ward 3,4.168357792826676e+17
21305004: Ward 4,1892483641159025.8
21305005: Ward 5,3.165498619696126e+18
21305006: Ward 6,1.4944935670411888e+17
21305007: Ward 7,2.4686000904285843e+17
21305008: Ward 8,425660241949181.75
21305009: Ward 9,1.2101507087787824e+17
21305010: Ward 10,3.398565668517346e+16
21305011: Ward 11,1.733339952013263e+20
21305012: Ward 12,3.76207342765219e+17
21305013: Ward 13,3.203747764821054e+16
21305014: Ward 14,4377010232719.8574
21305015: Ward 15,144223948782578.56
21305016: Ward 16,7.407484003759332e+17
21305017: Ward 17,6653031556568947.0
21305018: Ward 18,1.123410980589153e+18
21305019: Ward 19,3.475985737124812e+17
21305020: Ward 20,8.182994166056637e+17
21305021: Ward 21,6.287296310842033e+18
21306001: Ward 1,1.0257587452762704e+17
21306002: Ward 2,7.684007527307292e+17
21306003: Ward 3,4.684114034393229e+16
21306004: Ward 4,144313322135572.7
21306005: Ward 5,6.947231874202316e+16
21306006: Ward 6,1.6034631089466784e+16
21306007: Ward 7,2.6799673167443654e+17
21306008: Ward 8,1.9788261547846096e+17
21306009: Ward 9,1.1874518379726333e+18
21306010: Ward 10,7.570367105906491e+17
21306011: Ward 11,171531515326035.56
21306012: Ward 12,3.7253293194839264e+17
21306013: Ward 13,2.889467018822953e+16
21306014: Ward 14,3984823262445.4307
21306015: Ward 15,26034187518656.797
21306016: Ward 16,17711664359088.387
21306017: Ward 17,9.144100052828803e+16
21307001: Ward 1,4.538256320997789e+19
21307002: Ward 2,2.3109148622421766e+19
21307003: Ward 3,1.96287497729524e+18
21307004: Ward 4,2.737125606445843e+18
21307005: Ward 5,7.83491369494274e+17
21307006: Ward 6,1.898358716943102e+18
21307007: Ward 7,3.9193375701930977e+18
21307008: Ward 8,1.3031722186123485e+17
21307009: Ward 9,2.000620894402592e+16
21307010: Ward 10,356984747661600.4
21307011: Ward 11,9574581495676.803
21307012: Ward 12,2.9511435165828946e+18
21307013: Ward 13,5.87602786468269e+19
21307014: Ward 14,5.715552816782814e+17
21307015: Ward 15,4.504866533934816e+17
21307016: Ward 16,2.145330407721834e+18
21307017: Ward 17,7.081480637929015e+16
21307018: Ward 18,9.141123027010358e+16
21307019: Ward 19,9.100364566502201e+18
21307020: Ward 20,5.848169972874788e+18
21308001: Ward 1,3910318561.459201
21308002: Ward 2,117416829251815.27
21308003: Ward 3,2.8035872887398256e+16
21308004: Ward 4,1463123885056.1082
21308005: Ward 5,228230997043249.5
21308006: Ward 6,6385189219202032.0
21308007: Ward 7,7.961770297049947e+16
21308008: Ward 8,2.5554727583167064e+16
21308009: Ward 9,1.7179740837258726e+17
21401001: Ward 1,2.312715241375663e+16
21401002: Ward 2,32549710800289.918
21401003: Ward 3,1838099021050.5369
21401004: Ward 4,384954353550.5936
21401005: Ward 5,2286486062860141.0
21401006: Ward 6,2.0685195159553693e+17
21401007: Ward 7,5.500829622216171e+17
21401008: Ward 8,1.3092526511835089e+19
21401009: Ward 9,1.509524239146284e+16
21401010: Ward 10,3.2262669693798825e+18
21401011: Ward 11,6275764228834394.0
21401012: Ward 12,1.8367963985782858e+18
21401013: Ward 13,4.500623685096925e+19
21401014: Ward 14,1.0262855904450656e+19
21401015: Ward 15,1.8348716564568087e+19
21401016: Ward 16,2.138232819116129e+16
21401017: Ward 17,3430125031350.5054
21402001: Ward 1,3.9084340369890394e+17
21402002: Ward 2,1.3229304532896586e+18
21402003: Ward 3,1.0273863369121069e+17
21402004: Ward 4,2.0292488444390285e+17
21402005: Ward 5,2.1290540028594092e+18
21402006: Ward 6,7.188065307454213e+17
21402007: Ward 7,7.88116326029143e+16
21402008: Ward 8,124417160894277.56
21402009: Ward 9,1.0909725420208356e+16
21402010: Ward 10,34165386660747.67
21402011: Ward 11,8187219863790630.0
21402012: Ward 12,1377567684166166.5
21402013: Ward 13,2.9080925375479776e+17
21402014: Ward 14,11014105418345.572
21402015: Ward 15,349581448136.79126
21402016: Ward 16,30532448116.73544
21402017: Ward 17,6.783664101234454e+16
21503001: Ward 1,2.30865521266215e+16
21503002: Ward 2,8.147577890313272e+16
21503003: Ward 3,6.308962125419846e+17
21503004: Ward 4,6.451865363699925e+16
21503005: Ward 5,9.393466062855002e+17
21503006: Ward 6,1617851441902405.5
21503007: Ward 7,1.2130889204553212e+16
21503008: Ward 8,3.894610919335809e+17
21503009: Ward 9,5665069895623712.0
21503010: Ward 10,5.106122960884452e+18
21503011: Ward 11,2.981543653154268e+17
21503012: Ward 12,3.931403653743854e+19
21503013: Ward 13,9.261068967798101e+16
21503014: Ward 14,282128569911655.5
21503015: Ward 15,822358085946.0977
21503016: Ward 16,4.172865292204356e+17
21503017: Ward 17,7.154288834929797e+16
21503018: Ward 18,5.760498980401102e+18
21503019: Ward 19,1524166705161541.8
21503020: Ward 20,2.0338254525623224e+16
21503021: Ward 21,2.221877708426933e+16
21503022: Ward 22,1.4387743645946586e+17
21503023: Ward 23,1.5154432185238073e+19
21503024: Ward 24,3.0791991829518496e+17
21503025: Ward 25,1.9069102510861665e+18
21503026: Ward 26,1.0078025753999388e+18
21503027: Ward 27,7.805696202419835e+16
21503028: Ward 28,3.944833485355544e+17
21503029: Ward 29,1.1882229107865456e+17
21503030: Ward 30,4.332262251176504e+17
21503031: Ward 31,1.9099172961290924e+18
21504001: Ward 1,7.499189920615017e+18
21504002: Ward 2,2.8071580052270797e+18
21504003: Ward 3,3.892363395211184e+18
21504004: Ward 4,9.069771539576288e+17
21504005: Ward 5,235076001701370.25
21504006: Ward 6,3012881156233.253
